S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
550C,United Kingdom,The Improvised History Of The World,Musical,Pawel Klica,"Improvise, dimmersive, interactive musical about the history of the world? How on earth is that supposed to work? (Hint: it does!)"
551C,United States,Lolpera: An Epik Opera About Lolcats,Theater,Lolpera,"Using only words from LOL, cat images and an original score, LOLPERA is an operatic, dystopian clash between low-brow humor and high art."
552C,United States,Liminal Vs. Our Town,Experimental,Liminal,Portland's most experimental performance troupe enters the ring with America's best-loved play. November 14 - December 12013
553C,United States,The Chairs: A Site-Specific Production,Theater,Moze Halperin,"""Old Man:  Our corpses will land far from one another, and we'll rot in watery solitude... mustn't complain too much."""
554C,United States,Terminator The Second,Plays,Husky Jackal Theater,A stage production of Terminator 2: Judgment Daycomposed entirely of the words of William Shakespeare
555C,United States,"""Swing It! Songs Of The Andrews Sisters"" Hits The High Seas!",Theater,Swing It! Songs Of The Andrews Sisters,A fresh new tribute show that's sure to have audiences jumping and jiving...even those who've never heard of the Andrews Sisters!
556C,United States,Almostmaine - A Freeks Theater Production,Theater,Alexander Kucy,"Almost, Maine is an immersive theater experience about nine couples dealing with the joys, difficulties, and bitter-sweetness of love."
557C,United States,Veronica Livingstonei Presume By Josh Gross,Theater,Janessa White,"""Veronica LivingstoneI Presume"" is a play written by local writer Josh Gross and we're eager to produce it!  Help us!"
558C,United States,Help Armour Go Digital Before We Go Dark!!,Theater,Adam Roberts,Help Save The Historic Armour Theatre! Hollywood is forcing us to upgrade to new digital projection or go dark.
559C,United States,The 2013 Citrus Cel Animation Film Festival,Theater,Citrus Cel Animation Festival,Citrus Cel's mission is to create an environment that celebrates animation as a cultural and commercial medium.
560C,United States,Nocturnal Fringenyc 2012,Theater,Pangaea Performance Ensemble,Twelve Actors. 12 days to raise twelve hundred dollars. Help us before the clock strikes 12...midnight.
561C,United Kingdom,Fund You Once Said Yes At Edinburgh Fringe 2013,Immersive,Look Left Look Right,"YOU ONCE SAID YES is an award winning one on one experience, it returns to the Edinburgh Festival in the British Council Showcase"
562C,United States,Dbr's Symphony For The Dance Floor,Theater,Daniel Bernard Roumain (Dbr),"SYMPHONY FOR THE DANCE FLOOR is an imaginative fusion of music, art and movement, created by composer Daniel Bernard Roumain (DBR)."
563C,United States,Good People By David Lindsay-Abaire At Waterfront Playhouse,Plays,Body Electric Productions,Bringing David Lindsay-Abaire's award-winning story of our times to the East Bay.
564C,United States,World Famousa New Play,Theater,Tim Murray,"They're putting the ""survive"" in survival job."
565C,United States,Cirque Du Horror - A Halloween Spooktacular,Theater,David Pierce,Delightfully wicked musical theatre! A truly unique collaboration of the arts in a Halloween review suitable for the entire family.
566C,United States,"Shakespeare Picks Up A Banjo In ""As You Like It""",Theater,G. Todd Buker,Part romantic comedypart bluegrass concert. Bare TheatreRaleigh Little Theatre & PineCone team up for a fun outdoor event!
567C,United States,Everybody Nose It's My Birthday,Theater,Kimberly Kaiser,Everybody Nose NYC is the NY branch of LA's favorite clown troupe. Please help us launch our troupe by backing our upcoming show!
568C,United States,Kurt Vonnegut's Galapagos (Original Theatrical Adaption),Experimental,Tucker Marder & Christian Scheider,"Climb aboard the ""Nature Cruise of the Century"" and witness the brainlessness of eternity. Will we adapt or face extinction?"
569C,United Kingdom,The Collector,Theater,Archie Whyld,"The Collector is a play about beauty, power and love. Help us bring it to life in Bucharest and London..."
571C,United States,Project Coffee Pot,Theater,Benjamin James Kelly,This Theater/performance art piece will tell a story about Saint Paul and the building of the controversial 94 freeway.
572C,United States,Artist Gumbo- An Interdisciplinary Evening Of The Arts,Theater,Dramatis Personae,"Dramatis Personae's quarterly event for artists from all mediums to share their workcollaborate with others, and build community."
573C,United States,The Disappearing Man @ Cloud City,Theater,Jahn Sood,The Musical Theatre Factory will present the first production of Sood's folk opera at a new performance space in Brooklyn.
574C,United States,Hereafter Musical,Theater,Vinnie Favale & Frankie Keane,"""Hereafter Musical"" explores what happens when a loved one dies from the perspective of both the living AND the dead."
575C,United Kingdom,Transition Town Wivenhoe & Cycle Cinema Screens Chasing Ice,Theater,Transition Town Wivenhoe,We were bowled over by the amazing new documentary 'Chasing Ice' - so we're setting up a giant outdoor cinema to show it.
576C,United States,Banners & Cranks - First Ever Festival And Exhibition Of Cantastoria In North America,Theater,Dave Buchen,A festival and an exhibition of Cantastoria this April in Chicagoand an accompanying hand printed catalogue as work of art and reference source.
577C,United States,Bridesburg,Theater,Victor  Kaufold,Five working-class Philadelphians try to get by in a hostile economic environment with their hearts and minds intact.
578C,United States,"Hitting The Ground, A Violent Femmes Musical",Musical,Matt Williams & Gregory Victor,First reading of a new musical featuring the songs of the Violent Femmesone of the most popular alternative rock bands of the 1980's.
579C,United States,"University Mall Theatres ""Save Our Butts!""",Theater,Daniel Collings,If you help put in new seats you'll...SAVE OUR BUTTS!!!
580C,United States,Talia - Audiodrama Albumperformance And Film,Experimental,William Nava,"A hypnotic spoken word meta-narrative and a journey across many musical genres. Presented as album, stage performance and film."
581C,United States,Pin Up Perfection Palooza,Festivals,Samantha Crawford,"Come and experience Pittsburgh's premiere pin up and burlesque festival, taking place in the historic Altar Bar in the Strip District!!"
582C,United Kingdom,The Explorer (Rediscover The Marionette Puppet),Theater,Lori Hopkins (Lauren Nayak),The Explorer will be a modern marionette show for all ages about discovery and surprise. Rediscover this rarely-used form of puppet.
583C,United States,Broadway Arts Lab Company Presents Elf Jr: The Musical,Musical,Broadway Arts Lab Company,A nonprofit arts education program for young people to explore their unique and individual talents through Musical Theatre.
584C,Australia,Stacy Queen & Berri Juicy @ Fringe Festival 2016,Festivals,Stacy Queen,"Stacy Queen & Berri Juicy have an incredible show that they want to bring to the Adelaide Fringe Festival, but need YOUR help!"
586C,Canada,The Scooter Diaries,Nonfiction,Gordon Bowman,An epic adventure romance through Latin America on a scooter during a time when such a journey was virtually unheard of.
587C,United States,Arctic Ocean Sea Ice: A 'Citizen Science' Project,Academic,Lauren Farmer,A citizen science project aiming to contribute to Arctic Ocean knowledge by collecting valuable sea ice data at the North Pole.
588C,United States,Gud Magazine Issue 7,Periodicals,Kaolin Fire,"Literary + genre fiction, poetry, art, and more! Help us get issue 7 out the door and into best-of anthos. Because it's that good."
589C,United States,Super Toy: Diy Projects To Support Sensory Processing,Nonfiction,Melissa Haworth & Kristin Cockrell,"This book has instructions for 30+ projects you can make to help meet your child's sensory needs. Great for kids with autism, ADHD etc."
590C,United States,Bluecrowne (Arcana Project #2),Children's Books,Katemilford,"A fantasy novel published in paperback and digital editions, including an ebook illustrated by young reader artists."
591C,United States,Stolen Sharpie Revolution (5Th Edition),Zines,Alex Wrekk,"Since 2002, Stolen Sharpie Revolution has been the go-to guide for zines and zine culture. Help bring the 5th edition to print!"
593C,United States,The Comedy Button Podcast,Radio & Podcasts,Scott Bromley,The Comedy Button is a brand new nerd pop culture podcast with weekly video sketches.
595C,United States,Writer's Guide To Hollywood By Producer Of Pretty Woman,Nonfiction,Gary Goldstein,A book and practical roadmap of every insider strategy I've learned on how to make it in Hollywood as a successful screenwriter.
598C,United States,Poems + Prints: A Book Arts Project In The Wild Midwest,Poetry,Laura Brown,"six poets + one printmaker = poems for everyone!  pocket-sized, postcard-sized, hang-it-on-the-wall-sized."
599C,Australia,Remo Giuffre,Nonfiction,"General Thinker Unique Visual Memoir | Printed, Ipad & Pdf",Serial founder Remo Giuffré (REMO General StoreGeneral Thinking & TEDxSydney) has FINALLY written his book. Interesting & inspiring.
602C,United States,Publish Poor Millionaires By Nathan Roberts & Michael Kimpur,Nonfiction,Nathan Roberts & Michael Kimpur,A former World Vision sponsor child and a young American started a school in Kenya for victims of war. Help us publish our story!
609C,Norway,Familiemusikalen Piken Med Fyrstikkene,Musical,Monica Sik Holm,Det klassiske eventyret i en sjarmerende musikalversjon for liten og stor!
612C,United States,Raditatical: A Journey In Rhythm,Immersive,Bronkar Lee,"Original live stage show filled with music, laughter, and raw energy! Powerful 6-person cast entertains & makes music WITH  audiences."
615C,United Kingdom,Police Cops,Theater,This Theatre,"Fast paced 1970's Police comedy-drama; a satirical, cinematic joyride."
619C,United States,Astral Dick,Theater,Hanna Hall,"A ""whodunit"" involving a police psychic, CAP'N, and his ""paranormal guinea pig"" Lieutenant LEO FLECK."
620C,United States,Pool (No Water),Theater,One Year Lease Theater Company,"pool (no water) is what happens when you mix creativity, camaraderie, and art with the kind of envy that rarely sees daylight."
621C,United States,The Late Live Show: The Quest For A Fifth Season,Theater,The Late Live Show,We're trying to get enough money to cover theater rental and sound equipment for a fifth season of our show.
622C,United Kingdom,The Studio @ Matthews Yard,Theater,Matthews Yard,"The Studio @ Matthews Yard will bring independent and community theatre back to Croydon, London's biggest borough."
623C,United States,Waterwell's New Works Lab @ Ppas,Theater,Waterwell,"Waterwell & PPAS are thrilled to announce its third year playwright, A. REY PAMATMAT."
624C,United States,Colt Coeur's 6Th Season,Plays,Colt Coeur,2 world premieres:HOW TO LIVE ON EARTH by MJ Kaufman / CAL IN CAMO by William Francis Hoffman+ workshops of 7 more plays!
